run_id,start_time,end_time,status,records_extracted,file_written_to,error_message
2025-07-15_21-01-09,2025-07-15T21:01:09.320442,2025-07-15T21:01:21.320871,SUCCESS,18,data/bronze/transactions_2025-07-15_21-01-09.json,
2025-07-20_10-41-58,2025-07-20T10:41:58.262716,2025-07-20T10:42:09.819071,SUCCESS,16,data/bronze/transactions_2025-07-20_10-41-58.json,
2025-07-20_10-46-17,2025-07-20T10:46:17.719578,2025-07-20T10:46:31.552629,SUCCESS,16,data/bronze/transactions_2025-07-20_10-46-17.json,
2025-07-20_12-00-36,2025-07-20T12:00:36.846660,2025-07-20T12:00:47.185619,SUCCESS,16,data/bronze/transactions_2025-07-20_12-00-36.json,
2025-07-20_13-11-47,2025-07-20T13:11:47.959070,2025-07-20T13:11:58.550516,SUCCESS,16,data/bronze/transactions_2025-07-20_13-11-47.json,
2025-07-20_13-18-37,2025-07-20T13:18:37.629855,2025-07-20T13:18:47.637460,SUCCESS,16,data/bronze/transactions_2025-07-20_13-18-37.json,
2025-07-20_13-20-44,2025-07-20T13:20:44.345491,2025-07-20T13:20:54.303685,SUCCESS,16,data/bronze/transactions_2025-07-20_13-20-44.json,
2025-07-20_13-50-30,2025-07-20T13:50:30.333382,2025-07-20T13:50:42.251585,SUCCESS,16,data/bronze/transactions_2025-07-20_13-50-30.json,
